LotArea,OverallQual,OverallCond,YearBuilt,SalePrice
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2022,3226
5,10,10,2022,16630
500,10,10,2022,1663000
1500,10,10,2022,4989000
1000,10,10,2022,3326000
1,10,10,2021,2226
5,10,10,2021,13630
500,10,10,2021,1463000
1500,10,10,2021,4589000
1000,10,10,2021,3026000
1,10,10,2021,2226
5,10,10,2021,13630
500,10,10,2021,1463000
1500,10,10,2021,4589000
1000,10,10,2021,3026000
1,9,9,2022,2226
5,9,9,2022,13630
500,9,9,2022,1463000
1500,9,9,2022,4589000
1000,9,9,2022,3026000
1,9,9,2022,2226
5,9,9,2022,13630
500,9,9,2022,1463000
1500,9,9,2022,4589000
1000,9,9,2022,3026000
1,9,9,2022,2226
5,9,9,2022,13630
500,9,9,2022,1463000
1500,9,9,2022,4589000
1000,9,9,2022,3026000
1,9,9,2022,2226
5,9,9,2022,13630
500,9,9,2022,1463000
1500,9,9,2022,4589000
1000,9,9,2022,3026000
2500,10,10,2022,8065000
2500,10,10,2022,8065000
2500,10,10,2022,8065000
2500,10,10,2022,8065000
2500,10,10,2022,8065000